Date,Non-farm_Payrolls,Civilian_Unemployment_Rate,Effective_Fed_Funds,CPI_All_Items,10Y_Treasury_Rate,5Y_Treasury_Rate,3_Month_T-Bill_Rate,IPI,S&P_500_Index,Non-farm_Payrolls_3_mo_annualised,CPI_All_Items_3_mo_annualised,IPI_3_mo_annualised,Non-farm_Payrolls_3_month_pchg,Non-farm_Payrolls_12_month_pchg,Civilian_Unemployment_Rate_12_month_pchg,CPI_All_Items_3_month_pchg,CPI_All_Items_12_month_pchg,IPI_3_month_pchg,IPI_12_month_pchg,Effective_Fed_Funds_12_chg,10Y_Treasury_Rate_12_chg,S&P_500_Index_12_chg,3M_10Y_Treasury_Spread
1964-06-01,58219.0,5.2,3.5,31.01,4.17,4.02,3.48,29.4928,81.690002,1.0224326805833688,1.0090805320063696,1.1039146966295408,0.005561600773787978,0.02753313683616021,-0.07142857142857129,0.002262443438914019,0.013067624959163693,0.02502363343157432,0.059698972020710395,1.1705685618729096,1.045112781954887,1.177598363373287,0.69
1964-05-01,58089.0,5.1,3.5,30.98,4.2,4.05,3.48,29.4098,80.370003,1.023475393533846,1.0090893751314827,1.0915403052722923,0.005817879590670705,0.026017380245866972,-0.13559322033898313,0.0022646392753153943,0.015404785316289749,0.022138964577656628,0.05988136167391045,1.1666666666666667,1.0687022900763359,1.135169485797903,0.7200000000000002
1964-04-01,57922.0,5.3,3.47,30.95,4.23,4.15,3.47,29.2436,79.459999,1.0306129994716884,1.0012934517308067,1.0963146708158409,0.007566928175065657,0.023718628490632776,-0.07017543859649134,0.0003232062055591456,0.015419947506561726,0.023254837468071,0.06666569399509048,1.196551724137931,1.0654911838790933,1.1383953522179646,0.7600000000000002
1964-03-01,57897.0,5.4,3.43,30.94,4.22,4.14,3.54,28.7728,78.980003,1.0379044821877361,1.0077947016959197,1.0640464952354078,0.00934432802775409,0.028000710227272796,-0.05263157894736836,0.0019430051813471572,0.014093739757456536,0.015640829235749054,0.059124071470114004,1.151006711409396,1.0737913486005088,1.1864203545140455,0.6799999999999997
1964-02-01,57753.0,5.4,3.48,30.91,4.15,4.03,3.53,28.7728,77.800003,1.0352482830534195,1.0170014175634667,1.05576386469345,0.008697930311763136,0.027085185843855664,-0.0847457627118644,0.0042235217673813885,0.014107611548556331,0.013658574392903189,0.06563952519397787,1.16,1.0586734693877553,1.2101415739595338,0.6200000000000006
1964-01-01,57487.0,5.6,3.48,30.94,4.17,4.07,3.52,28.579,77.040001,1.0143213404990348,1.0249454622046452,1.0479085745594396,0.003561265995146945,0.024449790608571664,-0.01754385964912286,0.006178861788617818,0.016425755584756896,0.011767787981562305,0.07054293184695726,1.1917808219178083,1.0887728459530026,1.1637462914084424,0.6499999999999999
1963-12-01,57361.0,5.5,3.38,30.88,4.13,4.04,3.52,28.3297,75.019997,1.0199804962145387,1.0209966596261952,1.0400711271302185,0.004958127474683716,0.023791675590776107,0.0,0.005208333333333259,0.016458196181698526,0.009870672446244066,0.06896460644479663,1.1535836177474401,1.0699481865284974,1.1889064877624878,0.6099999999999999
1963-11-01,57255.0,5.7,3.48,30.78,4.12,4.01,3.52,28.3851,73.230003,1.0244702082848873,1.003908153626071,1.090659419624479,0.006062203479177741,0.02138932496075352,0.0,0.0009756097560975618,0.013166556945358954,0.021932682649347113,0.07105501471587061,1.183673469387755,1.0510204081632653,1.1761966808929225,0.6000000000000001
1963-10-01,57283.0,5.5,3.5,30.75,4.11,3.97,3.45,28.2466,74.010002,1.0348876156946132,1.0078430997094547,1.0781035644167813,0.008610064443427046,0.022162345425670527,0.01851851851851838,0.0019550342130987275,0.012179065174456882,0.018978734149816878,0.07030373760950615,1.206896551724138,1.0458015267175573,1.3094480184005661,0.6600000000000001
1963-09-01,57078.0,5.5,3.48,30.72,4.08,3.96,3.38,28.0528,71.699997,1.0299102199689705,1.0144520568823197,1.0322167235206585,0.007395118163045611,0.019650577012397807,-0.017857142857142794,0.003593596863769921,0.009861932938855844,0.007958665243808394,0.06407722798566207,1.2,1.0251256281407035,1.274213559623245,0.7000000000000002
1963-08-01,56910.0,5.4,3.49,30.75,4.0,3.89,3.32,27.7759,72.5,1.0209338701172235,1.0318383137848193,1.0039990349552514,0.005192878338278861,0.019198395357999942,-0.05263157894736836,0.007866273352999054,0.015521796565389767,0.0009982629503895168,0.06025407101468083,1.1911262798634812,1.0050251256281406,1.2263193712164981,0.6800000000000002
