,Date,Non-farm_Payrolls,Civilian_Unemployment_Rate,Effective_Fed_Funds,CPI_All_Items,10Y_Treasury_Rate,5Y_Treasury_Rate,3_Month_T-Bill_Rate,IPI,S&P_500_Index,Non-farm_Payrolls_3_mo_annualised,Non-farm_Payrolls_12_mo_annualised,CPI_All_Items_3_mo_annualised,CPI_All_Items_12_mo_annualised,IPI_3_mo_annualised,IPI_12_mo_annualised
459,1981-11-01,91171.0,8.3,13.31,93.8,13.39,13.38,10.86,51.894,126.349998,0.9828989574050281,0.9956970458144487,1.0712421915465218,1.017353579175705,0.9075500009368543,0.9760400542432557
460,1981-10-01,91380.0,7.9,15.08,93.4,15.15,15.41,13.54,52.4949,121.889999,0.9903843191091122,0.9975873625833779,1.085683227755657,1.0207650273224045,0.9498066147000825,0.9872082986209711
461,1981-09-01,91477.0,7.6,15.87,93.1,15.32,15.93,14.7,52.8514,116.18,0.9994317530017339,0.9998579079680839,1.119964887432157,1.0287292817679556,1.001742625155414,1.0004353718833052
462,1981-08-01,91565.0,7.4,17.82,92.2,14.94,15.56,15.51,53.1679,122.790001,1.011838031617326,1.002946459866807,1.116230569362716,1.0278706800445931,1.0454560729076097,1.0111752880831795
463,1981-07-01,91601.0,7.2,19.04,91.5,14.28,14.79,14.95,53.1751,130.919998,1.014007671701415,1.0034836716584687,1.11217610513742,1.026936026936027,1.071157103720241,1.0173333766986614
464,1981-06-01,91490.0,7.5,19.1,90.5,13.47,13.95,14.73,52.8284,131.21000700000002,1.0123360146049813,1.0030698388334613,1.0885776897650608,1.0214446952595937,1.0250614372092166,1.0062073234607876
465,1981-05-01,91296.0,7.5,18.52,89.7,14.1,14.63,16.3,52.5803,132.589996,1.0084123366246207,1.0020964820811151,1.0795408570128004,1.0193181818181818,1.027413294383954,1.0067839773292995
466,1981-04-01,91283.0,7.2,15.72,89.1,13.68,13.99,13.69,52.2691,132.809998,1.0110303618729752,1.0027462568519108,1.0900461276028377,1.021788990825688,0.9850125888982849,0.9962319028414159
467,1981-03-01,91210.0,7.4,14.7,88.6,13.12,13.41,13.36,52.5025,136.0,1.0117954381545,1.0029359049074695,1.1058084840424296,1.0254629629629628,0.9799884069385375,0.9949591138652794
468,1981-02-01,91105.0,7.4,15.93,88.0,13.19,13.41,14.79,52.226000000000006,131.270004,1.0158737615749156,1.0039450339956142,1.1169548799587823,1.0280373831775702,0.9814010495820596,0.9953174758965311
469,1981-01-01,91033.0,7.5,19.08,87.2,12.57,12.77,15.02,52.4668,129.550003,1.0242195655525301,1.0060006630566913,1.1233945132283847,1.0295159386068478,1.070456871037251,1.0171670741140684
470,1980-12-01,90943.0,7.2,18.9,86.4,12.84,13.25,15.49,52.7685,135.759995,1.0327628431964,1.0080919601387826,1.1246234284414098,1.029797377830751,1.1516247180835335,1.0359236414035722
471,1980-11-01,90747.0,7.5,15.85,85.6,12.68,12.83,13.73,52.4717,140.520004,1.0290802024006698,1.0071920887024273,1.120473922933042,1.0288461538461537,1.2007765638594126,1.046804427278676
472,1980-10-01,90490.0,7.5,12.81,84.7,11.75,11.86,11.62,51.5813,127.470001,1.029255934738008,1.0072350845948352,1.1056392610981887,1.0254237288135595,1.1375207464491406,1.0327372252543738
473,1980-09-01,90213.0,7.5,10.87,83.9,11.51,11.62,10.27,50.9386,125.459999,1.0049814765839864,1.0012430494667095,1.069626241593631,1.016969696969697,1.0488530106197622,1.0119956769471619
474,1980-08-01,90099.0,7.7,9.61,83.2,11.1,10.84,9.13,50.1256,122.379997,0.9858750422865554,0.996449900464499,1.0754867866163422,1.018359853121175,0.9358174209952104,0.9835530317597981
475,1980-07-01,89840.0,7.8,9.03,82.6,10.25,9.53,8.06,49.9462,121.669998,0.9563092750452776,0.9888936587084063,1.0867411266824623,1.0210135970333745,0.8360071114519905,0.956208264412179
476,1980-06-01,90101.0,7.6,9.47,82.5,9.78,9.21,7.07,50.3348,114.239998,0.9613187610379064,0.9901861661208431,1.1253451145093154,1.0299625468164795,0.793609027098792,0.9438471087242685
477,1980-05-01,90420.0,7.5,10.98,81.7,10.18,9.95,8.58,50.9638,111.239998,0.9797773446188731,0.9949055378893743,1.1438784045686579,1.0341772151898734,0.8231140162207382,0.9525000327070402
478,1980-04-01,90849.0,6.9,17.61,80.9,11.47,11.84,13.2,52.2336,106.290001,1.002160338254123,1.0005396475770925,1.1572193200545209,1.0371794871794873,0.9083737395390435,0.9762614548152745
479,1980-03-01,90994.0,6.3,17.19,80.1,12.75,13.47,15.2,53.3294,102.089996,1.0142808948249429,1.0035512616904887,1.1771307507437836,1.0416124837451235,1.0051997147615952,1.001297401629356
