Year, value
1965,4.2
1965,4.2
1965,4.2
1965,4.2
1965,4.19
1965,4.19
1965,4.19
1965,4.19
1965,4.19
1965,4.18
1965,4.18
1965,4.17
1965,4.17
1965,4.18
1965,4.19
1965,4.19
1965,4.19
1965,4.19
1965,4.2
1965,4.2
1965,4.2
1965,4.21
1965,4.22
1965,4.21
1965,4.21
1965,4.21
1965,4.21
1965,4.22
1965,4.21
1965,4.21
1965,4.21
1965,4.22
1965,4.21
1965,4.22
1965,4.21
1965,4.22
1965,4.22
1965,4.24
1965,4.23
1965,4.22
1965,4.23
1965,4.23
1965,4.23
1965,4.23
1965,4.22
1965,4.22
1965,4.21
1965,4.21
1965,4.2
1965,4.2
1965,4.2
1965,4.19
1965,4.19
1965,4.18
1965,4.19
1965,4.2
1965,4.2
1965,4.2
1965,4.2
1965,4.2
1965,4.2
1965,4.2
1965,4.2
1965,4.2
1965,4.19
1965,4.2
1965,4.2
1965,4.2
1965,4.19
1965,4.2
1965,4.21
1965,4.21
1965,4.21
1965,4.21
1965,4.21
1965,4.21
1965,4.21
1965,4.21
1965,4.21
1965,4.21
1965,4.21
1965,4.2
1965,4.2
1965,4.2
1965,4.2
1965,4.2
1965,4.2
1965,4.2
1965,4.21
1965,4.21
1965,4.21
1965,4.22
1965,4.22
1965,4.22
1965,4.22
1965,4.22
1965,4.22
1965,4.22
1965,4.22
1965,4.23
1965,4.23
1965,4.23
1965,4.23
1965,4.23
1965,4.23
1965,4.23
1965,4.23
1965,4.23
1965,4.23
1965,4.21
1965,4.21
1965,4.21
1965,4.21
1965,4.21
1965,4.2
1965,4.2
1965,4.2
1965,4.19
1965,4.19
1965,4.19
1965,4.2
1965,4.2
1965,4.2
1965,4.21
1965,4.21
1965,4.21
1965,4.2
1965,4.21
1965,4.21
1965,4.21
1965,4.21
1965,4.2
1965,4.2
1965,4.2
1965,4.2
1965,4.2
1965,4.2
1965,4.2
1965,4.2
1965,4.2
1965,4.2
1965,4.21
1965,4.22
1965,4.22
1965,4.22
1965,4.23
1965,4.23
1965,4.24
1965,4.24
1965,4.24
1965,4.25
1965,4.25
1965,4.25
1965,4.26
1965,4.27
1965,4.26
1965,4.26
1965,4.26
1965,4.26
1965,4.27
1965,4.26
1965,4.27
1965,4.27
1965,4.27
1965,4.27
1965,4.28
1965,4.28
1965,4.27
1965,4.27
1965,4.27
1965,4.27
1965,4.28
1965,4.28
1965,4.28
1965,4.28
1965,4.27
1965,4.27
1965,4.27
1965,4.28
1965,4.29
1965,4.3
1965,4.31
1965,4.31
1965,4.33
1965,4.36
1965,4.35
1965,4.36
1965,4.35
1965,4.33
1965,4.32
1965,4.31
1965,4.32
1965,4.31
1965,4.3
1965,4.31
1965,4.34
1965,4.34
1965,4.35
1965,4.36
1965,4.37
1965,4.36
1965,4.38
1965,4.38
1965,4.39
1965,4.4
1965,4.41
1965,4.43
1965,4.43
1965,4.43
1965,4.43
1965,4.45
1965,4.47
1965,4.46
1965,4.44
1965,4.45
1965,4.44
1965,4.45
1965,4.45
1965,4.46
1965,4.45
1965,4.45
1965,4.45
1965,4.45
1965,4.46
1965,4.48
1965,4.52
1965,4.52
1965,4.52
1965,4.61
1965,4.59
1965,4.6
1965,4.6
1965,4.6
1965,4.65
1965,4.67
1965,4.67
1965,4.66
1965,4.65
1965,4.61
1965,4.64
1965,4.65
1965,4.65
1965,4.62
1965,4.61
1965,4.62
1965,4.63
1965,4.65
1966,4.63
1966,4.65
1966,4.63
1966,4.6
1966,4.6
1966,4.61
1966,4.6
1966,4.56
1966,4.58
1966,4.59
1966,4.61
1966,4.61
1966,4.61
1966,4.6
1966,4.59
1966,4.6
1966,4.61
1966,4.61
1966,4.63
1966,4.65
1966,4.69
1966,4.69
1966,4.7
1966,4.7
1966,4.71
1966,4.73
1966,4.72
1966,4.74
1966,4.78
1966,4.86
1966,4.87
1966,4.88
1966,4.89
1966,4.88
1966,4.9
1966,4.92
1966,4.92
1966,4.93
1966,4.97
1966,5.02
1966,5.01
1966,5
1966,5
1966,4.98
1966,4.96
1966,4.93
1966,4.93
1966,4.95
1966,4.96
1966,4.94
1966,4.91
1966,4.9
1966,4.86
1966,4.84
1966,4.81
1966,4.78
1966,4.73
1966,4.76
1966,4.82
1966,4.81
1966,4.8
1966,4.7
1966,4.71
1966,4.7
1966,4.69
1966,4.66
1966,4.71
1966,4.73
1966,4.73
1966,4.73
1966,4.74
1966,4.76
1966,4.77
1966,4.76
1966,4.76
1966,4.8
1966,4.77
1966,4.77
1966,4.78
1966,4.79
1966,4.78
1966,4.78
1966,4.79
1966,4.8
1966,4.81
1966,4.81
1966,4.81
1966,4.79
1966,4.75
1966,4.75
1966,4.77
1966,4.77
1966,4.77
1966,4.77
1966,4.75
1966,4.75
1966,4.75
1966,4.75
1966,4.77
1966,4.79
1966,4.78
1966,4.8
1966,4.81
1966,4.8
1966,4.79
1966,4.77
1966,4.78
1966,4.79
